domain,mcp_server_url,auth
1-d.xyz,https://mcp.1-d.xyz/mcp,oauth
18rus.ru,https://mcp.18rus.ru/mcp,oauth
1mg.com,https://mcp.1mg.com/mcp,oauth
360dialog.com,https://mcp.360dialog.com/mcp,oauth
4me.com,https://mcp.4me.com/mcp,oauth
58pic.com,https://mcp.58pic.com/mcp,oauth
750words.com,https://mcp.750words.com/mcp,oauth
abclegal.com,https://mcp.abclegal.com/mcp,oauth
abela.io,https://mcp.abela.io/mcp,oauth
abundolive.se,https://mcp.abundolive.se/mcp,oauth
acoustic-adm.com,https://mcp.acoustic-adm.com/mcp,oauth
adquick.com,https://mcp.adquick.com/mcp,oauth
adscale.com,https://mcp.adscale.com/mcp,oauth
adthena.com,https://mcp.adthena.com/mcp,oauth
advally.com,https://mcp.advally.com/mcp,oauth
adzen.ai,https://mcp.adzen.ai/mcp,oauth
affinda.com,https://mcp.affinda.com/mcp,oauth
affinity.co,https://mcp.affinity.co/mcp,oauth
aftersell.app,https://mcp.aftersell.app/mcp,oauth
agent.ai,https://mcp.agent.ai/mcp,oauth
agentmail.to,https://mcp.agentmail.to/mcp,oauth
agi7.ai,https://mcp.agi7.ai/mcp,oauth
agicap.com,https://mcp.agicap.com/mcp,oauth
ahaslides.com,https://mcp.ahaslides.com/mcp,oauth
ai-stv.ru,https://mcp.ai-stv.ru/mcp,oauth
airbridge.io,https://mcp.airbridge.io/mcp,oauth
airpay.co.in,https://mcp.airpay.co.in/mcp,oauth
airtable.com,https://mcp.airtable.com/mcp,oauth
airtasker.com,https://mcp.airtasker.com/mcp,oauth
airthings.com,https://mcp.airthings.com/mcp,oauth
akiflow.com,https://mcp.akiflow.com/mcp,oauth
alasco.de,https://mcp.alasco.de/mcp,oauth
alchemy.com,https://mcp.alchemy.com/mcp,oauth
algoapp.ai,https://mcp.algoapp.ai/mcp,oauth
algolia.com,https://mcp.algolia.com/mcp,oauth
allunite.com,https://mcp.allunite.com/mcp,oauth
alphavantage.co,https://mcp.alphavantage.co/mcp,oauth
altindex.com,https://mcp.altindex.com/mcp,oauth
altrady.com,https://mcp.altrady.com/mcp,oauth
ami-gestion.fr,https://mcp.ami-gestion.fr/mcp,oauth
amperity.com,https://mcp.amperity.com/mcp,oauth
amplemarket.com,https://mcp.amplemarket.com/mcp,oauth
amplitude.com,https://mcp.amplitude.com/mcp,oauth
antler.co,https://mcp.antler.co/mcp,oauth
anzenna.ai,https://mcp.anzenna.ai/mcp,oauth
apaleo.com,https://mcp.apaleo.com/mcp,oauth
apicbase.com,https://mcp.apicbase.com/mcp,oauth
apiiro.com,https://mcp.apiiro.com/mcp,oauth
apollo.io,https://mcp.apollo.io/mcp,oauth
appcues.com,https://mcp.appcues.com/mcp,oauth
applicaa.com,https://mcp.applicaa.com/mcp,oauth
arcade.software,https://mcp.arcade.software/mcp,oauth
arcadis.com,https://mcp.arcadis.com/mcp,oauth
are.na,https://mcp.are.na/mcp,oauth
artblocks.io,https://mcp.artblocks.io/mcp,oauth
artemis.ai,https://mcp.artemis.ai/mcp,oauth
artie.com,https://mcp.artie.com/mcp,oauth
asana.com,https://mcp.asana.com/mcp,oauth
ashbyhq.com,https://mcp.ashbyhq.com/mcp,oauth
ask-ai.co,https://mcp.ask-ai.co/mcp,oauth
assignr.com,https://mcp.assignr.com/mcp,oauth
asteroid.ai,https://mcp.asteroid.ai/mcp,oauth
attio.com,https://mcp.attio.com/mcp,oauth
attributionapp.com,https://mcp.attributionapp.com/mcp,oauth
autohausplattform.de,https://mcp.autohausplattform.de/mcp,oauth
autoit.dk,https://mcp.autoit.dk/mcp,oauth
auxilium.online,https://mcp.auxilium.online/mcp,oauth
avaza.com,https://mcp.avaza.com/mcp,oauth
avncloud.com,https://mcp.avncloud.com/mcp,oauth
avo.app,https://mcp.avo.app/mcp,oauth
avoma.com,https://mcp.avoma.com/mcp,oauth
aweber.com,https://mcp.aweber.com/mcp,oauth
awhy.it,https://mcp.awhy.it/mcp,oauth
axiom.co,https://mcp.axiom.co/mcp,oauth
axioshq.com,https://mcp.axioshq.com/mcp,oauth
backstory.ai,https://mcp.backstory.ai/mcp,oauth
badgermapping.com,https://mcp.badgermapping.com/mcp,oauth
bajajbroking.in,https://mcp.bajajbroking.in/mcp,oauth
banno-production.com,https://mcp.banno-production.com/mcp,oauth
base.org,https://mcp.base.org/mcp,oauth
beeceptor.com,https://mcp.beeceptor.com/mcp,oauth
beehiiv.com,https://mcp.beehiiv.com/mcp,oauth
benchmarkminerals.com,https://mcp.benchmarkminerals.com/mcp,oauth
bergspezl.at,https://mcp.bergspezl.at/mcp,oauth
betterbugs.io,https://mcp.betterbugs.io/mcp,oauth
betterup.co,https://mcp.betterup.co/mcp,oauth
beusable.net,https://mcp.beusable.net/mcp,oauth
bico.su,https://mcp.bico.su/mcp,oauth
bidprime.com,https://mcp.bidprime.com/mcp,oauth
bigdata.com,https://mcp.bigdata.com/mcp,oauth
billygrace.com,https://mcp.billygrace.com/mcp,oauth
binclusive.io,https://mcp.binclusive.io/mcp,oauth
bitmovin.com,https://mcp.bitmovin.com/mcp,oauth
bitpanda.com,https://mcp.bitpanda.com/mcp,oauth
bitquery.io,https://mcp.bitquery.io/mcp,oauth
blend-ai.com,https://mcp.blend-ai.com/mcp,oauth
bling.com.br,https://mcp.bling.com.br/mcp,oauth
blotato.com,https://mcp.blotato.com/mcp,oauth
bndlapi.com,https://mcp.bndlapi.com/mcp,oauth
boldsign.com,https://mcp.boldsign.com/mcp,oauth
boom.nl,https://mcp.boom.nl/mcp,oauth
boompop.com,https://mcp.boompop.com/mcp,oauth
boords.com,https://mcp.boords.com/mcp,oauth
boost.space,https://mcp.boost.space/mcp,oauth
bounce.com,https://mcp.bounce.com/mcp,oauth
box.com,https://mcp.box.com/mcp,oauth
branch.co,https://mcp.branch.co/mcp,oauth
brevo.tech,https://mcp.brevo.tech/mcp,oauth
brightcrowd.com,https://mcp.brightcrowd.com/mcp,oauth
brightedge.com,https://mcp.brightedge.com/mcp,oauth
brightidea.com,https://mcp.brightidea.com/mcp,oauth
brightmls.com,https://mcp.brightmls.com/mcp,oauth
browserless.io,https://mcp.browserless.io/mcp,oauth
browserstack.com,https://mcp.browserstack.com/mcp,oauth
brucetec.com,https://mcp.brucetec.com/mcp,oauth
brusnika.ru,https://mcp.brusnika.ru/mcp,oauth
buffer.com,https://mcp.buffer.com/mcp,oauth
bugherd.com,https://mcp.bugherd.com/mcp,oauth
buhochile.com,https://mcp.buhochile.com/mcp,oauth
buildbetter.app,https://mcp.buildbetter.app/mcp,oauth
buildfire.com,https://mcp.buildfire.com/mcp,oauth
buildkite.com,https://mcp.buildkite.com/mcp,oauth
buildwithion.com,https://mcp.buildwithion.com/mcp,oauth
buser.com.br,https://mcp.buser.com.br/mcp,oauth
cablesandkits.com,https://mcp.cablesandkits.com/mcp,oauth
caisgroup.com,https://mcp.caisgroup.com/mcp,oauth
cal.com,https://mcp.cal.com/mcp,oauth
calculator-online.net,https://mcp.calculator-online.net/mcp,oauth
calo.app,https://mcp.calo.app/mcp,oauth
campcation.com,https://mcp.campcation.com/mcp,oauth
candid.org,https://mcp.candid.org/mcp,oauth
canopyprotect.com,https://mcp.canopyprotect.com/mcp,oauth
canva-dev.com,https://mcp.canva-dev.com/mcp,oauth
canva.cn,https://mcp.canva.cn/mcp,oauth
canva.com,https://mcp.canva.com/mcp,oauth
canva.xyz,https://mcp.canva.xyz/mcp,oauth
capchase.com,https://mcp.capchase.com/mcp,oauth
capsule.video,https://mcp.capsule.video/mcp,oauth
car.org,https://mcp.car.org/mcp,oauth
carbondesignsystem.com,https://mcp.carbondesignsystem.com/mcp,oauth
cardpointers.com,https://mcp.cardpointers.com/mcp,oauth
cartgenie.com,https://mcp.cartgenie.com/mcp,oauth
cashfree.com,https://mcp.cashfree.com/mcp,oauth
caspio.com,https://mcp.caspio.com/mcp,oauth
catsy.com,https://mcp.catsy.com/mcp,oauth
centrical.me,https://mcp.centrical.me/mcp,oauth
cepra.de,https://mcp.cepra.de/mcp,oauth
cevoid.com,https://mcp.cevoid.com/mcp,oauth
chainels.com,https://mcp.chainels.com/mcp,oauth
characterai.dev,https://mcp.characterai.dev/mcp,oauth
chargebee.com,https://mcp.chargebee.com/mcp,oauth
checkin.no,https://mcp.checkin.no/mcp,oauth
chipp.ai,https://mcp.chipp.ai/mcp,oauth
chisellabs.com,https://mcp.chisellabs.com/mcp,oauth
chowdeck.com,https://mcp.chowdeck.com/mcp,oauth
chzbrgr.io,https://mcp.chzbrgr.io/mcp,oauth
civils.ai,https://mcp.civils.ai/mcp,oauth
clappia.com,https://mcp.clappia.com/mcp,oauth
clarity.ai,https://mcp.clarity.ai/mcp,oauth
classdojo.com,https://mcp.classdojo.com/mcp,oauth
classe365.com,https://mcp.classe365.com/mcp,oauth
clazar.io,https://mcp.clazar.io/mcp,oauth
clbk.app,https://mcp.clbk.app/mcp,oauth
cleartrip.com,https://mcp.cleartrip.com/mcp,oauth
cleo.com,https://mcp.cleo.com/mcp,oauth
clickup-qa.com,https://mcp.clickup-qa.com/mcp,oauth
clickup-stg.com,https://mcp.clickup-stg.com/mcp,oauth
clickup.com,https://mcp.clickup.com/mcp,oauth
climbfinder.com,https://mcp.climbfinder.com/mcp,oauth
clootrack.com,https://mcp.clootrack.com/mcp,oauth
close.com,https://mcp.close.com/mcp,oauth
cloudflare-internal.com,https://mcp.cloudflare-internal.com/mcp,oauth
cloudflare.com,https://mcp.cloudflare.com/mcp,oauth
cloudlift.app,https://mcp.cloudlift.app/mcp,oauth
cloudways.com,https://mcp.cloudways.com/mcp,oauth
clubright.co.uk,https://mcp.clubright.co.uk/mcp,oauth
coastapp.com,https://mcp.coastapp.com/mcp,oauth
cognitoforms.com,https://mcp.cognitoforms.com/mcp,oauth
coindesk.com,https://mcp.coindesk.com/mcp,oauth
coinpoker.ai,https://mcp.coinpoker.ai/mcp,oauth
coinstats.app,https://mcp.coinstats.app/mcp,oauth
collabis.ru,https://mcp.collabis.ru/mcp,oauth
commonroom.io,https://mcp.commonroom.io/mcp,oauth
competitor.com,https://mcp.competitor.com/mcp,oauth
compliancehcm.com.br,https://mcp.compliancehcm.com.br/mcp,oauth
